"function evaluation" "noise-free fitness - Fopt (7.948000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.171935160e+02 +1.171935160e+02 +9.194351596e+01 +9.194351596e+01 +9.3695e-01 +1.5230e+00 -2.0334e+00 -3.4653e+00 +1.0094e+00 -3.0921e+00 +3.4687e+00 -1.3509e+00 -3.9210e+00 +2.8068e+00
2 +9.427161272e+01 +9.427161272e+01 +6.902161272e+01 +6.902161272e+01 -2.6306e-02 -3.9973e-01 -2.5326e-01 +1.4456e+00 +1.6481e-02 -1.8971e+00 +2.5279e+00 -3.4286e+00 -3.5606e+00 -3.1869e+00
6 +6.092928011e+01 +6.092928011e+01 +3.567928011e+01 +3.567928011e+01 +2.9981e+00 -3.0562e+00 -2.8918e+00 -1.5054e+00 -2.3848e+00 +1.3004e+00 -8.1116e-01 -9.5639e-01 +6.5661e-01 -1.9118e-01
19 +2.802707124e+01 +2.802707124e+01 +2.777071242e+00 +2.777071242e+00 +2.4121e+00 -1.1265e+00 +9.4033e-01 -1.4143e+00 +2.4121e+00 -1.6910e+00 -1.2275e+00 +1.3819e+00 +2.4568e+00 -1.6942e+00
216 +1.490376403e+01 +1.490376403e+01 -1.034623597e+01 -1.034623597e+01 +2.0029e+00 -3.3381e-01 -2.3330e+00 -1.2876e-01 +3.4977e+00 +6.3054e-01 -3.8508e+00 -1.2098e+00 +1.5062e+00 -7.8395e-01
"function evaluation" "noise-free fitness - Fopt (-2.017200000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.065575831e+02 +1.065575831e+02 -9.516241686e+01 -9.516241686e+01 +1.2884e+00 -1.2297e+00 +1.4717e+00 -1.7395e+00 -1.9796e+00 +3.0255e+00 -3.8385e+00 +7.8787e-01 +2.4534e+00 +3.0227e+00
3 +6.844907762e+01 +6.844907762e+01 -1.332709224e+02 -1.332709224e+02 +1.9251e+00 -2.3600e+00 -1.2388e+00 -2.2848e+00 -2.5675e+00 +3.2552e+00 -2.0604e+00 +1.4342e+00 -1.4021e+00 -2.8885e+00
10 +4.644156059e+01 +4.644156059e+01 -1.552784394e+02 -1.552784394e+02 -2.6449e+00 -3.3535e+00 -7.8153e-01 -4.0005e-01 +7.3431e-01 +3.6902e+00 -3.9580e+00 -1.5760e-01 +3.2131e+00 -3.1676e+00
35 +3.662089016e+01 +3.662089016e+01 -1.650991098e+02 -1.650991098e+02 -1.3002e+00 -3.1857e+00 +2.7708e+00 +2.1886e+00 +2.6461e+00 +1.9908e+00 -9.2506e-01 +1.7953e+00 +3.8738e+00 -3.4183e+00
