"function evaluation" "noise-free fitness - Fopt (7.948000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.576917171e+02 +1.576917171e+02 +5.651717108e+00 +5.651717108e+00 +2.4366e+00 +2.6285e+00 -2.5904e+00 +3.5976e+00 +3.1674e+00 +2.1630e+00 -2.2256e+00 +2.0567e-01 -1.1049e+00 -3.6445e+00 -2.3084e-01 +3.9340e+00 -3.5380e+00 +3.8456e+00 -1.3206e+00 -9.8039e-01 +3.6132e+00 -7.4381e-01 -3.4742e+00 -2.6890e-01
5 +8.819914860e+01 +8.819914860e+01 -6.384085140e+01 -6.384085140e+01 +1.3709e+00 +3.9688e+00 -3.1140e-01 +3.0461e+00 +1.4762e+00 +2.3481e+00 -1.8165e+00 -2.4885e+00 +2.2743e+00 +7.5682e-01 +3.8024e+00 -3.6092e+00 -2.2707e+00 +2.2025e+00 +7.8379e-01 +1.1978e+00 +1.2366e+00 -1.4553e-01 +9.6831e-01 -1.9011e-01
"function evaluation" "noise-free fitness - Fopt (-2.525000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.029960317e+02 +2.029960317e+02 +1.777460317e+02 +1.777460317e+02 -1.4562e+00 +1.9210e+00 +2.8468e+00 +4.5227e-01 -6.6745e-01 +5.5559e-01 -3.7488e+00 -3.2951e+00 -1.6066e+00 +2.1467e+00 -2.9848e+00 +9.4327e-01 -3.1175e+00 -3.6258e-01 -3.5541e+00 +1.5101e+00 +6.7510e-01 +4.2862e-01 -2.9226e+00 +3.1484e+00
4 +9.135171232e+01 +9.135171232e+01 +6.610171232e+01 +6.610171232e+01 -9.1979e-01 +6.3457e-02 +2.6924e+00 -1.1936e+00 +2.5883e+00 -2.7491e+00 -2.2406e+00 -2.2234e-01 +2.3893e+00 +4.5966e-01 +1.5326e+00 -3.0693e-01 +3.1458e-01 -1.7814e+00 +8.9958e-01 +7.3090e-01 +2.7336e+00 -7.7759e-01 -1.0758e-01 -2.9802e+00
"function evaluation" "noise-free fitness - Fopt (-2.017200000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.798939120e+02 +1.798939120e+02 -2.182608800e+01 -2.182608800e+01 +3.3470e+00 -6.0230e-02 +2.5174e+00 +3.8417e+00 -2.5537e+00 -1.5017e-01 +6.9926e-01 +3.9929e-01 +2.6104e+00 -2.6847e-02 +2.9199e+00 +1.4592e+00 -1.3976e+00 -2.1640e-01 -2.5141e+00 -3.5811e+00 -1.3593e+00 +2.4065e+00 +2.2070e+00 +9.9431e-01
5 +1.361240521e+02 +1.361240521e+02 -6.559594790e+01 -6.559594790e+01 -8.8805e-01 +1.7874e+00 +2.9795e+00 +1.5074e+00 -2.7582e-01 -1.3644e+00 +3.5121e-01 -9.0898e-01 -3.8211e+00 -8.4751e-01 +2.6597e+00 +1.6864e+00 -1.6464e+00 +3.9071e+00 +1.3932e+00 -2.7400e-01 +7.0118e-01 -9.5293e-01 -2.3311e+00 -6.0053e-01
34 +9.468648000e+01 +9.468648000e+01 -1.070335200e+02 -1.070335200e+02 -1.3542e+00 -1.0720e+00 +2.3118e+00 +1.5240e+00 -8.4690e-01 +7.6100e-01 -5.3795e-01 +1.2009e+00 +2.6733e+00 -4.3738e-01 -3.6079e-01 +2.1012e+00 -5.8196e-02 +5.7090e-02 -3.3901e+00 -1.1729e-01 -2.1112e+00 +7.2460e-01 -1.1605e+00 -3.8226e+00
288 +6.153362568e+01 +6.153362568e+01 -1.401863743e+02 -1.401863743e+02 +1.6658e+00 +1.1271e-02 +2.1865e+00 +8.1173e-01 +2.6607e+00 +1.2965e-01 -3.4195e+00 +2.5854e+00 -6.5003e-01 -3.5638e-01 +1.8090e+00 +1.1967e+00 -2.3530e-01 +5.2981e-01 -2.4758e+00 +1.3003e+00 +1.9707e+00 +2.9720e-01 -1.8987e+00 -1.0040e-01
"function evaluation" "noise-free fitness - Fopt (-1.000000000000e+03)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.443337975e+02 +2.443337975e+02 -7.556662025e+02 -7.556662025e+02 +1.7919e+00 -3.7824e+00 -3.8582e+00 +3.4215e+00 +3.2181e+00 +2.6878e+00 -8.5408e-01 -4.1814e-01 +1.7833e+00 +1.2258e+00 +1.8149e-01 +1.0489e+00 -3.7588e+00 +7.4453e-02 +2.4724e+00 -3.8867e+00 -8.5926e-02 -8.0695e-01 -3.0394e+00 -2.5104e+00
6 +1.437508424e+02 +1.437508424e+02 -8.562491576e+02 -8.562491576e+02 -1.3396e+00 -1.0262e+00 +1.1683e+00 -1.9322e-01 +1.5626e+00 +1.0410e+00 +2.9393e-01 -2.0232e+00 +9.4522e-01 +4.7004e-01 -6.3564e-01 -2.4252e+00 -7.8580e-01 +2.1033e+00 -1.0183e+00 -2.5322e+00 +1.6956e+00 +3.9830e+00 +4.7293e-01 -2.9421e+00
12 +8.836175361e+01 +8.836175361e+01 -9.116382464e+02 -9.116382464e+02 +1.3094e+00 +9.8530e-01 -2.5164e+00 +1.1554e+00 +3.8629e+00 +4.8268e-01 +3.3267e+00 -2.6475e+00 -1.2878e+00 +2.0084e+00 +1.9278e+00 -1.4863e+00 +3.3444e+00 -2.6144e+00 +3.0612e+00 -2.0197e+00 +2.9905e+00 -1.0790e+00 -4.3310e-01 -2.1432e-01
575 +5.305773536e+01 +5.305773536e+01 -9.469422646e+02 -9.469422646e+02 -9.2504e-02 +3.6242e+00 +2.2668e+00 +9.1080e-02 +3.8229e+00 -1.0438e+00 +3.0612e-02 -3.1267e+00 -3.0304e+00 +2.6029e+00 -3.3746e-01 +8.7766e-02 +2.5384e+00 -2.3404e+00 +1.0390e+00 +2.6052e+00 +1.2415e+00 -1.2630e+00 +1.5898e-01 -5.1290e-01
